datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-17 20:15:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:21:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:31:00+00:00,92.0,25,92,10,92.0,92.0,92.0,25,25,25,92,93,92,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:42:00+00:00,,26,90,0,,,,25,26,25,92,92,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:48:00+00:00,,26,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:54:00+00:00,,26,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 20:58:00+00:00,,26,90,0,,,,26,26,26,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:00:00+00:00,,26,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:05:00+00:00,,25,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:06:00+00:00,,26,90,0,,,,25,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:11:00+00:00,,25,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:12:00+00:00,,26,90,0,,,,25,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:13:00+00:00,,26,90,0,,,,26,26,26,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:17:00+00:00,,25,90,0,,,,26,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
2025-10-17 21:18:00+00:00,,26,90,0,,,,25,26,25,90,90,90,,KXNCAAFGAME-25NOV01OKLATENN-TENN
